AptamerId,SeqId,Type,Target,SomaId,TargetFullName,UniProt,IsIn1310Panel,IsIn1129Panel,note,PlasmaDilution,SerumDilution
4829-43,4829-43_6,Protein,STRATIFIN,SL001737,14-3-3 protein sigma,P31947,1,1,common,40,40
3804-66,3804-66_2,Protein,DMP1,SL007403,Dentin matrix acidic phosphoprotein 1,Q13316,0,1,1.1k only,40,40
3814-63,3814-63_1,Protein,IL-11 RA,SL007423,Interleukin-11 receptor subunit alpha,Q14626,0,1,1.1k only,40,40
14156-33,14156-33_3,Protein,14-3-3 protein beta/alpha,SL004815,14-3-3 protein beta/alpha,P31946,1,0,1.3k only,1,1
7625-27,7625-27_3,Protein,14-3-3 protein theta,SL008071,14-3-3 protein theta,P27348,1,0,1.3k only,1,1
5858-6,5858-6_5,Protein,14-3-3 protein zeta/delta,SL005688,14-3-3 protein zeta/delta,P63104,1,0,1.3k only,1,1
14157-21,14157-21_3,Protein,14-3-3E,SL004984,14-3-3 protein epsilon,P62258,1,0,1.3k only,40,40
5861-78,5861-78_3,Protein,3HAO,SL008466,"3-hydroxyanthranilate 3,4-dioxygenase",P46952,1,0,1.3k only,1,1
5792-8,5792-8_2,Protein,AFP,SL000011,alpha-Fetoprotein,P02771,1,0,1.3k only,40,40
14134-49,14134-49_3,Protein,AMGO2,SL015046,Amphoterin-induced protein 2,Q86SJ2,1,0,1.3k only,40,40
7624-19,7624-19_3,Protein,ANK2,SL014896,Ankyrin-2,Q01484,1,0,1.3k only,40,40
9202-309,9202-309_3,Protein,ATPO,SL008113,"ATP synthase subunit O, mitochondrial",P48047,1,0,1.3k only,40,40
14115-34,14115-34_3,Protein,Adrenomedullin,SL002782,Adrenomedullin,P35318,1,0,1.3k only,1,1
11105-171,11105-171_3,Protein,Alpha enolase,SL003650,Alpha-enolase,P06733,1,0,1.3k only,1,1
14158-17,14158-17_3,Protein,Annexin V,SL003848,Annexin A5,P08758,1,0,1.3k only,40,40
11510-31,11510-31_3,Protein,Apo L1,SL005699,Apolipoprotein L1,O14791,1,0,1.3k only,0.005,0.005
14125-5,14125-5_3,Protein,ApoM,SL004747,Apolipoprotein M,O95445,1,0,1.3k only,40,40
13097-11,13097-11_3,Protein,Apoptosis regulator Bcl-W,SL003774,Bcl-2-like protein 2,Q92843,1,0,1.3k only,40,40
5870-23,5870-23_2,Protein,BAD,SL003700,Bcl2-associated agonist of cell death,Q92934,1,0,1.3k only,40,40
13111-79,13111-79_3,Protein,BCL6,SL007223,B-cell lymphoma 6 protein,P41182,1,0,1.3k only,40,1
5798-3,5798-3_3,Protein,BID,SL003704,BH3-interacting domain death agonist,P55957,1,0,1.3k only,40,40
13088-397,13088-397_3,Protein,BTC,SL000137,Betacellulin,P35070,1,0,1.3k only,40,40
14136-234,14136-234_3,Protein,C1QR1,SL007696,Complement component C1q receptor,Q9NPY3,1,0,1.3k only,1,1
9212-22,9212-22_3,Protein,CATF,SL008381,Cathepsin F,Q9UBX1,1,0,1.3k only,1,1
13116-25,13116-25_3,Protein,CD177,SL008931,CD177 antigen,Q8N6Q3,1,0,1.3k only,1,1
5063-12,5063-12_2,Protein,CD244,SL014188,Natural killer cell receptor 2B4,Q9BZW8,1,0,1.3k only,40,40
11513-92,11513-92_3,Protein,CD38,SL002722,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,P28907,1,0,1.3k only,40,40
6653-58,6653-58_3,Protein,CD47,SL004838,Leukocyte surface antigen CD47,Q08722,1,0,1.3k only,40,40
11514-196,11514-196_3,Protein,CD59,SL004557,CD59 glycoprotein,P13987,1,0,1.3k only,1,1
9190-7,9190-7_3,Protein,CD63,SL008837,CD63 antigen,P08962,1,0,1.3k only,1,1
5065-8,5065-8_2,Protein,CD83,SL014229,CD83 antigen,Q01151,1,0,1.3k only,40,40
10337-83,10337-83_3,Protein,CEBPB,SL007136,CCAAT/enhancer-binding protein beta,P17676,1,0,1.3k only,40,40
10336-3,10336-3_3,Protein,CHIP,SL019100,E3 ubiquitin-protein ligase CHIP,Q9UNE7,1,0,1.3k only,40,40
13117-232,13117-232_3,Protein,CHKB,SL018256,Choline/ethanolamine kinase,Q9Y259,1,0,1.3k only,1,1
7628-40,7628-40_3,Protein,CREL1,SL012774,Cysteine-rich with EGF-like domain protein 1,Q96HD1,1,0,1.3k only,1,1
13103-125,13103-125_3,Protein,CSH,SL009328,Chorionic somatomammotropin hormone,P0DML2 P0DML3,1,0,1.3k only,40,1
9171-11,9171-11_3,Protein,CSRP3,SL016969,Cysteine and glycine-rich protein 3,P50461,1,0,1.3k only,40,40
8476-11,8476-11_3,Protein,CgA,SL002762,Chromogranin-A,P10645,1,0,1.3k only,1,1
9204-33,9204-33_3,Protein,Corticotropin-lipotropin,SL009210,Pro-opiomelanocortin,P01189,1,0,1.3k only,40,40
13126-52,13126-52_3,Protein,DSC2,SL008631,Desmocollin-2,Q02487,1,0,1.3k only,1,1
9175-48,9175-48_3,Protein,DSCAM,SL018891,Down syndrome cell adhesion molecule,O60469,1,0,1.3k only,40,40
13104-32,13104-32_3,Protein,EFNB1,SL008614,Ephrin-B1,P98172,1,0,1.3k only,1,1
14131-37,14131-37_3,Protein,EFNB2,SL007274,Ephrin-B2,P52799,1,0,1.3k only,40,40
5509-7,5509-7_3,Protein,EGF,SL000084,Epidermal growth factor,P01133,1,0,1.3k only,1,1
5328-33,5328-33_37,Protein,EGFRvIII,SL016828,Epidermal growth factor receptor variant III,P00533,1,0,1.3k only,40,40
9168-31,9168-31_3,Protein,Eotaxin-3,SL003170,C-C motif chemokine 26,Q9Y258,1,0,1.3k only,40,40
14124-6,14124-6_3,Protein,Ephrin-A2,SL004843,Ephrin-A2,O43921,1,0,1.3k only,1,1
14153-8,14153-8_3,Protein,Ephrin-A3,SL004139,Ephrin-A3,P52797,1,0,1.3k only,40,40
11516-7,11516-7_3,Protein,FABPL,SL006131,"Fatty acid-binding protein, liver",P07148,1,0,1.3k only,40,40
9177-6,9177-6_3,Protein,FAM3B,SL007306,Protein FAM3B,P58499,1,0,1.3k only,1,1
13102-1,13102-1_3,Protein,FAM3D,SL012769,Protein FAM3D,Q96BQ1,1,0,1.3k only,40,1
8480-29,8480-29_3,Protein,FBLN3,SL006527,EGF-containing fibulin-like extracellular matrix protein 1,Q12805,1,0,1.3k only,0.005,0.005
13122-19,13122-19_3,Protein,FLRT2,SL008360,Leucine-rich repeat transmembrane protein FLRT2,O43155,1,0,1.3k only,40,40
13123-3,13123-3_3,Protein,FLRT3,SL008372,Leucine-rich repeat transmembrane protein FLRT3,Q9NZU0,1,0,1.3k only,40,40
13112-179,13112-179_3,Protein,FSTL1,SL009349,Follistatin-related protein 1,Q12841,1,0,1.3k only,1,1
9213-24,9213-24_3,Protein,FTCD,SL018900,Formimidoyltransferase-cyclodeaminase,O95954,1,0,1.3k only,40,40
5392-73,5392-73_2,Protein,"Fas, soluble",SL002731,Tumor necrosis factor receptor superfamily member 6,P25445,1,0,1.3k only,1,1
12060-28,12060-28_3,Protein,GDF-11,SL004345,Growth/differentiation factor 11,O95390,1,0,1.3k only,40,40
5822-22,5822-22_3,Protein,GDNF,SL004248,Glial cell line-derived neurotrophic factor,P39905,1,0,1.3k only,40,40
14123-34,14123-34_3,Protein,GI24,SL017424,Platelet receptor Gi24,Q9H7M9,1,0,1.3k only,1,1
5350-14,5350-14_2,Protein,GPC6,SL012881,Glypican-6,Q9Y625,1,0,1.3k only,1,1
11081-1,11081-1_3,Protein,GPDA,SL007151,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",P21695,1,0,1.3k only,40,40
5464-52,5464-52_3,Protein,GRB2 adapter protein,SL003792,Growth factor receptor-bound protein 2,P62993,1,0,1.3k only,40,1
9196-8,9196-8_3,Protein,Galectin-7,SL005166,Galectin-7,P47929,1,0,1.3k only,1,1
5897-58,5897-58_3,Protein,Gastrin-releasing peptide,SL002071,Gastrin-releasing peptide,P07492,1,0,1.3k only,40,40
14144-3,14144-3_3,Protein,H2A3,SL019979,Histone H2A type 3,Q7L7L0,1,0,1.3k only,1,1
14143-8,14143-8_3,Protein,H2B2E,SL014983,Histone H2B type 2-E,Q16778,1,0,1.3k only,40,40
14146-92,14146-92_3,Protein,H31,SL008158,Histone H3.1,P68431,1,0,1.3k only,40,40
11096-57,11096-57_3,Protein,HEMK2,SL018921,HemK methyltransferase family member 2,Q9Y5N5,1,0,1.3k only,1,1
8462-18,8462-18_3,Protein,HGH,SL000442,Somatotropin,P01241,1,0,1.3k only,40,40
14132-21,14132-21_3,Protein,HHLA2,SL020171,HERV-H LTR-associating protein 2,Q9UM44,1,0,1.3k only,40,1
13089-6,13089-6_3,Protein,HIF-1a,SL003349,Hypoxia-inducible factor 1-alpha,Q16665,1,0,1.3k only,40,1
9187-2,9187-2_3,Protein,HMGN1,SL013165,Non-histone chromosomal protein HMG-14,P05114,1,0,1.3k only,1,1
